Date,Close,Open,High,Low,Volumn
2018-11-18,102500,102500,102500,102500,-
2018-11-16,102500,105000,106000,102000,190.18K
2018-11-15,104000,102500,104000,101500,163.97K
2018-11-14,103000,102500,104000,101500,250.71K
2018-11-13,101500,98800,101500,98700,277.65K
2018-11-12,101000,101000,101500,100000,200.85K
2018-11-11,100500,100500,100500,100500,-
2018-11-09,100500,100000,102000,98700,286.51K
2018-11-08,100000,97900,102000,97800,643.59K
2018-11-07,95600,97100,97700,95200,267.67K
2018-11-06,96600,95700,97500,95000,195.34K
2018-11-05,95500,97000,97400,94700,338.92K
2018-11-02,98200,95200,98500,94100,407.84K
2018-11-01,93100,92000,95600,91900,372.21K
2018-10-31,91600,90900,92800,89700,334.20K
2018-10-30,90500,86000,91100,86000,520.67K
2018-10-29,87600,89900,92400,87200,593.75K
2018-10-26,90900,95000,95500,89900,650.61K
2018-10-25,94200,97300,97300,92000,1.02M
2018-10-24,99200,101000,101500,98900,311.39K
2018-10-23,100500,102500,103500,100000,192.97K
2018-10-22,102500,101500,104000,100500,207.43K
2018-10-19,101000,100000,102000,99100,267.38K
2018-10-18,100500,100000,101500,99700,172.17K
2018-10-17,100500,103000,103000,100000,301.88K
2018-10-16,100500,99300,101000,99300,183.24K
2018-10-15,99300,101000,102000,99200,219.23K
2018-10-14,101000,101000,101000,101000,-
2018-10-12,101000,98500,102000,97600,535.84K
2018-10-11,98500,100000,102000,98500,951.81K
2018-10-10,104000,106500,108500,104000,511.78K
2018-10-09,107500,107500,107500,107500,-
2018-10-08,107500,107500,110500,107500,183.30K
2018-10-07,109000,109000,109000,109000,-
2018-10-05,109000,110500,111500,108500,475.82K
2018-10-04,112000,114500,115500,111000,602.10K
2018-10-03,115500,115500,115500,115500,-
2018-10-02,115500,120500,121000,114500,613.51K
2018-10-01,119500,120000,123500,119500,365.88K
2018-09-30,119000,119000,119000,119000,-
2018-09-28,119000,120000,120500,119000,228.59K
2018-09-27,120500,119000,121000,119000,274.85K
2018-09-26,118500,118500,118500,118500,-
2018-09-21,118500,121500,123500,118500,664.73K
2018-09-20,117500,118000,119500,117000,306.37K
2018-09-19,117000,121000,121000,116500,575.57K
2018-09-18,120500,122000,122500,120000,377.53K
2018-09-17,121500,120500,121500,118000,351.22K
2018-09-16,120000,120000,120000,120000,-
2018-09-14,120000,120500,121000,118500,286.08K
2018-09-13,121000,121000,122000,119500,407.00K
2018-09-12,120000,116500,120500,116500,344.33K
2018-09-11,116500,118500,118500,116000,423.19K
2018-09-10,119000,119000,120500,118500,214.90K
2018-09-09,120000,120000,120000,120000,-
2018-09-07,120000,120000,120500,118500,205.47K
2018-09-06,120000,121500,122000,119000,298.32K
2018-09-05,121000,122000,123500,121000,214.62K
2018-09-04,122000,121500,123000,120500,267.76K
2018-09-03,121500,125000,125500,121000,458.85K
2018-09-02,125000,125000,125000,125000,-
2018-08-31,125000,124000,125500,123000,431.04K
2018-08-30,126500,126500,128000,125500,296.53K
2018-08-29,126500,125000,127500,124000,749.03K
2018-08-28,125500,127000,127500,123500,479.85K
2018-08-27,128000,124000,128000,124000,579.88K
2018-08-26,124000,124000,124000,124000,-
2018-08-24,124000,125000,125000,123000,280.28K
2018-08-23,125500,125000,126000,123500,289.91K
2018-08-22,124500,125500,125500,122500,331.88K
2018-08-21,124000,125000,126500,124000,351.34K
